"anno","area","tipo","alunni"
201718,"NORD EST","IST D'ARTE","9955"
201718,"NORD EST","IST MAGISTRALE","29456"
201718,"NORD EST","IST PROFESSIONALE","91513"
201718,"NORD EST","IST TECNICO","158035"
201718,"NORD EST","LICEO ARTISTICO","8893"
201718,"NORD EST","LICEO CLASSICO","43890"
201718,"NORD EST","LICEO SCIENTIFICO","86758"
201718,"NORD EST","SCUOLA MAGISTRALE","217"
201718,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13471"
201718,"NORD OVEST","IST D'ARTE","3761"
201718,"NORD OVEST","IST MAGISTRALE","42221"
201718,"NORD OVEST","IST PROFESSIONALE","113833"
201718,"NORD OVEST","IST TECNICO","219923"
201718,"NORD OVEST","LICEO ARTISTICO","23050"
201718,"NORD OVEST","LICEO CLASSICO","43547"
201718,"NORD OVEST","LICEO SCIENTIFICO","142799"
201718,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","38046"
201718,"SUD","IST D'ARTE","11922"
201718,"SUD","IST MAGISTRALE","67151"
201718,"SUD","IST PROFESSIONALE","144978"
201718,"SUD","IST TECNICO","206621"
201718,"SUD","LICEO ARTISTICO","12088"
201718,"SUD","LICEO CLASSICO","70974"
201718,"SUD","LICEO SCIENTIFICO","182089"
201718,"SUD","SCUOLA MAGISTRALE","1377"
201718,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","24228"
201819,"CENTRO","IST D'ARTE","16528"
201819,"CENTRO","IST MAGISTRALE","37300"
201819,"CENTRO","IST PROFESSIONALE","87354"
201819,"CENTRO","IST TECNICO","149538"
201819,"CENTRO","LICEO ARTISTICO","8752"
201819,"CENTRO","LICEO CLASSICO","69320"
201819,"CENTRO","LICEO SCIENTIFICO","130846"
201819,"CENTRO","SCUOLA MAGISTRALE","1144"
201819,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","18837"
201819,"ISOLE","IST D'ARTE","6091"
201819,"ISOLE","IST MAGISTRALE","33092"
201819,"ISOLE","IST PROFESSIONALE","61057"
201819,"ISOLE","IST TECNICO","90704"
201819,"ISOLE","LICEO ARTISTICO","5677"
201819,"ISOLE","LICEO CLASSICO","35475"
201819,"ISOLE","LICEO SCIENTIFICO","71328"
201819,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","8984"
201819,"NORD EST","IST D'ARTE","10012"
201819,"NORD EST","IST MAGISTRALE","29756"
201819,"NORD EST","IST PROFESSIONALE","88958"
201819,"NORD EST","IST TECNICO","160097"
201819,"NORD EST","LICEO ARTISTICO","8935"
201819,"NORD EST","LICEO CLASSICO","44636"
201819,"NORD EST","LICEO SCIENTIFICO","88368"
201819,"NORD EST","SCUOLA MAGISTRALE","229"
201819,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13702"
201819,"NORD OVEST","IST D'ARTE","3733"
201819,"NORD OVEST","IST MAGISTRALE","42923"
201819,"NORD OVEST","IST PROFESSIONALE","109722"
201819,"NORD OVEST","IST TECNICO","221018"
201819,"NORD OVEST","LICEO ARTISTICO","23828"
201819,"NORD OVEST","LICEO CLASSICO","44553"
201819,"NORD OVEST","LICEO SCIENTIFICO","146099"
201819,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","38725"
201819,"SUD","IST D'ARTE","12380"
201819,"SUD","IST MAGISTRALE","65430"
201819,"SUD","IST PROFESSIONALE","139502"
201819,"SUD","IST TECNICO","204330"
201819,"SUD","LICEO ARTISTICO","11555"
201819,"SUD","LICEO CLASSICO","71521"
201819,"SUD","LICEO SCIENTIFICO","187437"
201819,"SUD","SCUOLA MAGISTRALE","428"
201819,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","25987"
201920,"CENTRO","IST D'ARTE","16588"
201920,"CENTRO","IST MAGISTRALE","37744"
201920,"CENTRO","IST PROFESSIONALE","84589"
201920,"CENTRO","IST TECNICO","149655"
201920,"CENTRO","LICEO ARTISTICO","8960"
201920,"CENTRO","LICEO CLASSICO","70481"
201920,"CENTRO","LICEO SCIENTIFICO","134827"
201920,"CENTRO","SCUOLA MAGISTRALE","1118"
201920,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","19437"
201920,"ISOLE","IST D'ARTE","5922"
201920,"ISOLE","IST MAGISTRALE","32079"
201920,"ISOLE","IST PROFESSIONALE","58668"
201920,"ISOLE","IST TECNICO","88758"
201920,"ISOLE","LICEO ARTISTICO","5877"
201920,"ISOLE","LICEO CLASSICO","37207"
201920,"ISOLE","LICEO SCIENTIFICO","71964"
201920,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","8895"
201920,"NORD EST","IST D'ARTE","10026"
201920,"NORD EST","IST MAGISTRALE","30368"
201920,"NORD EST","IST PROFESSIONALE","87690"
201920,"NORD EST","IST TECNICO","161632"
201920,"NORD EST","LICEO ARTISTICO","9012"
201920,"NORD EST","LICEO CLASSICO","44997"
201920,"NORD EST","LICEO SCIENTIFICO","89663"
201920,"NORD EST","SCUOLA MAGISTRALE","246"
201920,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13955"
201920,"NORD OVEST","IST D'ARTE","3722"
201920,"NORD OVEST","IST MAGISTRALE","43421"
201920,"NORD OVEST","IST PROFESSIONALE","106791"
201920,"NORD OVEST","IST TECNICO","222653"
201920,"NORD OVEST","LICEO ARTISTICO","24013"
201920,"NORD OVEST","LICEO CLASSICO","45365"
201920,"NORD OVEST","LICEO SCIENTIFICO","148726"
201920,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","39390"
201920,"SUD","IST D'ARTE","11583"
201920,"SUD","IST MAGISTRALE","64282"
201920,"SUD","IST PROFESSIONALE","134002"
201920,"SUD","IST TECNICO","201405"
201920,"SUD","LICEO ARTISTICO","10950"
201920,"SUD","LICEO CLASSICO","72609"
201920,"SUD","LICEO SCIENTIFICO","188985"
201920,"SUD","SCUOLA MAGISTRALE","398"
201920,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","28599"
202021,"CENTRO","IST D'ARTE","17294"
202021,"CENTRO","IST MAGISTRALE","38794"
